"","Fund_Name","Fund_Manager","Fund_Contact","Fund_Contact_Telephone","Fund_Type","Fund_Projected_Equity","Fund_Equity_Raised","Fund_Equity_Invested","Fund_Target_IRR","Fund_Minimum_IRR","Fund_Asset_Classes","Fund_Target_Locations","Fund_Data_Date"
"575","Singerman Opportunity Fund 1","Singerman Real Estate","Seth Singerman","312-543-8599","Opportunity","$150,000,000 ","","","18","18","Distressed","California","1/11/12"
"576","Osprey Fund 3","Osprey Investment","Wesley Marchal","810-225-9660","High Yield Debt","$150,000,000 ","","","18","18","Distressed","United States","1/11/12"
"577","Guardian Realty Fund 3","Guardian Realty Investors","Tony Labarbera","240-290-9216","Opportunity","$200,000,000 ","","","18","18","Office","United States","1/11/12"
"578","Gtis U.S. Residential Strategies","GTIS Partners","Tom Shapiro","212-220-5200","Opportunity","$300,000,000 ","","","18","18","Multifamily","Washington D.C.","1/11/12"
"579","Blue Vista Sponsor Equity Fund 3","Blue Vista Capital","Chris Winnen","312-324-6062","Opportunity","$300,000,000 ","","","18","18","Office","United States","1/11/12"
"580","Woodbourne Canada Partners Fund 2","Woodbourne Investment","Jake Herman","416-867-9090","Opportunity","$307,788,000 ","","","18","18","Multifamily, Manufactured Housing, Senior Housing","United States","1/11/12"
"581","Sullivan Debt Fund","Madison Realty Capital","Josh Zegen","646-442-2403","High Yield Debt","$500,000,000 ","","","18","18","Office","Canada","1/11/12"
"582","Gtis Partners Brazil Real Estate Fund 2","GTIS Partners","Bill Cisneros","212-220-5200","Opportunity","$600,000,000 ","","","18","18","Office","United States","1/11/12"
"583","J.P. Morgan U.S. Opportunistic Property Fund","J.P. Morgan","Eric Johnson","212-648-2294","Opportunity","$750,000,000 ","","","18","18","Office","Brazil","1/11/12"
"584","Ocm Real Estate Opportunities Fund 5","Oaktree Capital","John Brady","213-830-6300","Opportunity","$1,000,000,000 ","","","18","18","Office","United States","1/11/12"
"585","Hawthorne Retail Opportunity Fund","Hawthorne Retail Partners","Shoffner Allison","704-333-7430","Opportunity","$100,000,000 ","$30,000,000 ","","18","18","Retail","United States","1/11/12"
"586","Stonelake Opportunity Partners 2","Stonelake Capital","Kenneth Aboussie","512-236-0004","Opportunity","$80,000,000 ","$50,000,000 ","","18","18","Retail","Southeastern United States","1/11/12"
"587","Crp Opportunity Fund","Chesapeake Realty Partners","Larry Macks","410-356-9900","Opportunity","$66,200,000 ","$66,200,000 ","","18","18","Land","Texas","1/11/12"
"588","Related Real Estate Recovery Fund","Related Cos.","Justin Metz","212-801-3392","Opportunity","$1,250,000,000 ","$170,000,000 ","","18","18","Distressed","Eastern United States","1/11/12"
"589","Invesco Asia Real Estate Fund","Invesco Real Estate","Soon Lau","852-3-128-6000","Opportunity","$200,000,000 ","$200,000,000 ","","18","18","Office","United States","1/11/12"
"590","True North High Yield Fund 2","True North Management","Paul Turovsky, Richard Gunthel","914-304-8763","High Yield Debt","$500,000,000 ","$330,000,000 ","","18","18","Mezzanine Loans, Preferred Equity","Asia","1/11/12"
"591","Gem Realty Fund 4","GEM Realty Capital","Neal Gumbin","312-915-2900","Opportunity","$450,000,000 ","$450,000,000 ","","18","18","Office","United States","1/11/12"
"592","Lubert-adler Real Estate Fund 6","Lubert-Adler Partners","Jared Prushansky","215-972-2212","Opportunity","$2,150,000,000 ","$2,150,000,000 ","$1,500,000,000 ","20","20","Office","United States","1/11/12"
"593","Walton Street Real Estate Fund 6","Walton Street Capital","Jeff Quicksilver","312-915-2843","Opportunity","$2,000,000,000 ","$2,000,000,000 ","$1,000,000,000 ","20","20","Office, Multifamily, Retail","United States, International","1/11/12"
"594","Morgan Stanley Real Estate Fund 7 Global","Morgan Stanley","John Klopp, Oliver De Poulipiquet","212-761-8999","Opportunity","$4,700,000,000 ","$4,700,000,000 ","$940,000,000 ","20","20","Office, Multifamily, Retail","United States, International","1/11/12"
"595","Cherokee Investment Partners 4","Cherokee Investment","Tom Darden","919-743-2506","Opportunity","$1,240,000,000 ","$1,240,000,000 ","$496,000,000 ","20","20","Land","United States","1/11/12"
"596","Secured Capital Japan Real Estate Partners 4","Secured Capital Japan","Phi Le","81-35-776-1300","Opportunity","$525,000,000 ","$525,000,000 ","$340,000,000 ","20","20","Office","United States","1/11/12"
"597","J.P. Morgan Greater China Property Fund","J.P. Morgan","David Chen","852-280-02-088","Opportunity","$608,000,000 ","$608,000,000 ","$304,000,000 ","20","20","Office","Japan","1/11/12"
"598","Paladin Realty Latin America Investors Fund 3","Paladin Realty","Frederick Gortner","310-996-8762","Opportunity","$454,000,000 ","$454,000,000 ","$272,000,000 ","20","20","Multifamily","China","1/11/12"
"599","Blackstone Real Estate Partners Europe 3","Blackstone Group","Chad Pike","44-207-451-4233","Opportunity","$4,270,870,000 ","$4,270,870,000 ","$259,280,597 ","20","20","Office","Latin America","1/11/12"
"600","Aetos Capital Asia Fund 3","Aetos Capital","Chris Taube","212-201-2553","Opportunity","$568,000,000 ","$568,000,000 ","$250,000,000 ","20","20","Office","Europe","1/11/12"
"601","Europa Fund 3","Europa Capital","Noel Manne, Charles Graham","44-207-881-6800","Opportunity","$1,005,721,000 ","$1,005,721,000 ","$181,497,557 ","20","20","Office, Multifamily","Asia","1/11/12"
"602","European Emerging Economies Fund","Pramerica Real Estate Investors","Rob Munday","352-2762-3446","Opportunity","$344,425,000 ","$137,770,000 ","$137,770,000 ","20","20","Office","Europe","1/11/12"
"603","Brockton Capital Fund 2","Brockton Capital","David Marks","44-207-220-2555","Opportunity","$813,350,000 ","$813,350,000 ","$125,130,769 ","20","20","Office, Multifamily","Turkey, Eastern Europe","1/11/12"
"604","Lnr Archetype Real Estate Debt Fund","LNR Property","Robert Cherry","305-695-5500","High Yield Debt","$200,000,000 ","$200,000,000 ","$100,000,000 ","20","20","Mortgages","England","1/11/12"
"605","Stratford Land Fund 4","Stratford Co.","Phillip Wiggins","214-368-9191","Opportunity","$750,000,000 ","$325,000,000 ","$100,000,000 ","20","20","Land","United States","1/11/12"
"606","Perella Weinberg Real Estate Fund 1","Perella Weinberg Partners","Tarek Abdel-meguid","212-287-3301","Opportunity","$1,611,909,000 ","$1,611,909,000 ","$79,524,922 ","20","20","Office, Multifamily","Southeastern United States, Southwestern United States","1/11/12"
"607","Indospace Logistics Parks Limited","Realterm Global, Everstone Capital","Mitchell Gordon","410-280-1100","Opportunity","$250,000,000 ","$250,000,000 ","$75,000,000 ","20","20","Industrial","Europe","1/11/12"
"608","Congress Fund 2","Congress Group","Dean Stratouly","617-897-7200","Opportunity","$115,000,000 ","$115,000,000 ","$69,000,000 ","20","20","Multifamily","India","1/11/12"
"609","Grosvenor Residential Investment Partners Fund 1","Grosvenor Investment","John Gaghan","215-446-8108","High Yield Debt","$100,000,000 ","$100,000,000 ","$67,000,000 ","20","20","Mezzanine Loans, Preferred Equity","Boston, Florida","1/11/12"
"610","Aig Asian Real Estate Partners 2","Invesco Real Estate","Takuya Yamada","81-33-218-5965","Opportunity","$855,400,000 ","$855,400,000 ","$60,085,568 ","20","20","Office","United States","1/11/12"
"611","Northwood Real Estate Partners","Northwood Investors","Erwin Aulis","212-573-0800","Opportunity","$750,000,000 ","$750,000,000 ","$60,000,000 ","20","20","Office","Asia","1/11/12"
"612","Bluehouse Accession Property Fund 3","Bluehouse Capital","Julia Bernard","30-210-362-8900","Opportunity","$165,324,000 ","$165,324,000 ","$51,342,857 ","20","20","Office","United States","1/11/12"
"613","Rp Realty Retail Entrepreneurial Fund 3","RP Realty","Howard Aminoff","310-207-6990","Opportunity","$100,000,000 ","$100,000,000 ","$50,000,000 ","20","20","Retail","Bulgaria, Croatia, Serbia, Greece, Romania","1/11/12"
"614","Glenmont Real Estate Partners Fund 3","Glenmont Capital","Larry Kestin","212-582-2500","Opportunity","$100,000,000 ","$100,000,000 ","$45,000,000 ","20","20","Office","United States","1/11/12"
"615","Ag Asia Realty Fund 2","Angelo Gordon & Co.","Wilson Leung","852-3416-7328","Opportunity","$635,000,000 ","$635,000,000 ","$32,000,000 ","20","20","Office","United States","1/11/12"
"616","Paladin Realty Brazil Investors Fund 3","Paladin Realty","Frederick Gortner","310-996-8762","Opportunity","$100,000,000 ","$25,000,000 ","$25,000,000 ","20","20","Multifamily","Asia","1/11/12"
"617","Activum Fund 2","Activum SG Capital","Saul Goldstein","44-153-482-5215","Opportunity","$275,540,000 ","$206,655,000 ","$13,777,000 ","20","20","Office","Brazil","1/11/12"
"618","Madison International Real Estate Liquidity Fund 4","Madison International Realty","Ronald Dickerman","212-688-8777","Opportunity","$510,000,000 ","$510,000,000 ","$11,000,000 ","20","20","Office","Germany","1/11/12"
"619","Keystone Property Fund 3","Keystone Property","Matt Sigel","610-980-7000","Opportunity","$75,000,000 ","$58,800,000 ","$10,000,000 ","20","20","Office, Industrial","United States, Europe, Australia","1/11/12"
"620","Hg Capital 9","HG Capital","Andrew Jobst","650-322-3400","Opportunity","$50,000,000 ","","","20","20","Office","Eastern United States","1/11/12"
"621","Catalyst Fund 2","RPD Catalyst","Scott Dew","310-557-1311","Opportunity","$75,000,000 ","","","20","20","Office, Retail, Industrial, Multifamily","Western United States, Los Angeles, San Francisco, Seattle","1/11/12"
"622","Cascadia Real Estate Investments 2","Quantum Equities","Carl Cook","206-403-3144","Opportunity","$100,000,000 ","","","20","20","Distressed, Mortgages","Midwestern Western United States, Texas","1/11/12"
"623","Cardon Institutional Land Fund","Cardon Group","Patrick Cardon, Wil Cardon","480-505-9500","Opportunity","$200,000,000 ","","","20","20","Land","Northwestern United States","1/11/12"
"624","Stelliger Renewal Equity Fund","Stelliger Cos.","Charlene Kuo","917-968-3703","Opportunity","$200,000,000 ","","","20","20","Multifamily","Southwestern United States","1/11/12"
"625","Duet Japan Special Situations Fund","Duet Group","Alina Gorbacheva","646-747-2435","Opportunity","$300,000,000 ","","","20","20","Office","United States","1/11/12"
"626","Tishman Speyer Brazil Fund 3","Tishman Speyer","Daniel Citron","55-11-5504-7400","Opportunity","$400,000,000 ","","","20","20","Office, Development","Japan","1/11/12"
"627","H.I.G. Cronus Real Estate Fund 2","H.I.G. Cronus Capital","Philip Tager","212-351-5701","Opportunity","$400,000,000 ","","","20","20","Office","Brazil","1/11/12"
"628","Arminius Real Estate Opportunity Fund 2","Arminius Advisors","Peter Jun","49-69-247-5150","Opportunity","$413,310,000 ","","","20","20","Distressed","United States","1/11/12"
"629","Parmenter Realty Fund 4","Parmenter Realty","Andrew Weiss","305-379-7496","Opportunity","$500,000,000 ","","","20","20","Office","Germany","1/11/12"
"630","Project Enterprise","Pacific Star","Benett Theseira","65-6-538-0838","High Yield Debt","$500,000,000 ","","","20","20","Office","Southwestern United States","1/11/12"
"631","Ing Real Estate China Opportunity Fund 2","ING Real Estate Investment","Richard Van Den Berg","852-2-846-3080","Opportunity","$750,000,000 ","","","20","20","Multifamily","Asia","1/11/12"
"632","Blumberg Strategic Assets Fund","Blumberg Capital","Philip Blumberg","305-569-9500","High Yield Debt","$1,000,000,000 ","","","20","20","Office","China","1/11/12"
"633","Patron Capital Fund 4","Patron Capital","Keith Greslauer","44-207-629-9417","Opportunity","$1,033,275,000 ","","","20","20","Office","United States","1/11/12"
"634","Blackstone Real Estate Special Situations Europe","Blackstone Group","Chad Pike","44-207-451-4233","Opportunity","$1,377,700,000 ","","","20","20","Office","Europe","1/11/12"
"635","Blackstone Real Estate Partners 7","Blackstone Group","Jonathan Gray","212-583-5803","Opportunity","$10,000,000,000 ","","","20","20","Office, Lodging","Europe","1/11/12"
"636","Bryanston Real Estate Opportunity Fund 2","Bryanston Realty","Steven Smith","312-360-3101","Opportunity","$250,000,000 ","$50,000,000 ","","20","20","Office","United States","1/11/12"
"637","Jensen Russian Real Estate Fund 2","Jensen Group","Steven Wayne","7-812-325-1306","Opportunity","$89,000,000 ","$89,000,000 ","","20","20","Office","United States","1/11/12"
"638","Everbright Alam China Real Estate Fund","China Everbright","","","Opportunity","$250,000,000 ","$110,000,000 ","","20","20","Multifamily","Russia","1/11/12"
"639","Ag Realty Fund 8","Angelo Gordon & Co.","Adam Schwartz","212-692-2059","Opportunity","$1,250,000,000 ","$200,000,000 ","","20","20","Office","China","1/11/12"
"640","Aetos Capital Asia Fund 4","Aetos Capital","Chris Taube","212-201-2553","Opportunity","$1,000,000,000 ","$250,000,000 ","","20","20","Office","United States","1/11/12"
"641","Alcion Real Estate Partners 2","Alcion Ventures","Martin Zieff","617-603-1000","Opportunity","$400,000,000 ","$300,000,000 ","","20","20","Distressed, Mortgages","Asia","1/11/12"
"642","Rialto Residential Opportunity Fund","Rialto Capital","Jeffrey Krasnoff","305-485-2065","Opportunity","$750,000,000 ","$300,000,000 ","","20","20","Multifamily","United States","1/11/12"
"643","Fir Tree Real Estate Opportunity Fund 2","Fir Tree Partners","Jeffrey Tannenbaum","212-599-0090","Opportunity","$500,000,000 ","$401,000,000 ","","20","20","Mortgages","United States","1/11/12"
"644","Carlyle Realty Partners 6","Carlyle Group","Rob Stuckey","202-729-5255","Opportunity","$1,500,000,000 ","$800,000,000 ","","20","20","Office","United States","1/11/12"
"645","Davinci Japan Real Estate Partners 5","KK DaVinci Advisors","Sam Kaneko","81-36-215-9700Â ","Opportunity","$928,720,000 ","$928,720,000 ","","20","20","Office","United States","1/11/12"
"646","Global Real Estate Investor Consortium","Brookfield Asset Management","Barry Blattman","212-417-7276","Opportunity","$5,000,000,000 ","$5,000,000,000 ","$2,600,000,000 ","21","21","Office","Japan","1/11/12"
"647","Duet India Residential","Duet Group","Alina Gorbacheva","646-747-2435","Opportunity","$500,000,000 ","$365,000,000 ","$237,000,000 ","25","25","Multifamily","United States","1/11/12"
"648","Duet India Hotels","Duet Group","Alina Gorbacheva","646-747-2435","Opportunity","$300,000,000 ","$178,000,000 ","$115,000,000 ","25","25","Lodging","India","1/11/12"
"649","Xander Jv Fund 1","Xander Group","Sid Yog","91-116-611-8000","Opportunity","$500,000,000 ","$500,000,000 ","$75,000,000 ","25","25","Retail","India","1/11/12"
"650","Real Estate Opportunity Capital Fund","Pacific Finance Holdings, Primus Financial Holdings","Kelley Hansen","801-631-3334","Opportunity","$150,000,000 ","$60,000,000 ","$50,000,000 ","25","25","Office, Multifamily","India","1/11/12"
"651","Rochenge Capital No. 2","RocHenge Capital","Bob Collawn","720-891-1319","Opportunity","$50,000,000 ","","","25","25","Office, Industrial, Multifamily","Western United States, Los Angeles, San Francisco","1/11/12"
"652","Unnamed Vehicle","SVN Equities","Burton Young","949-705-5004","Opportunity","$100,000,000 ","","","25","25","Office","Southwestern United States","1/11/12"
"653","Ashmore Russian Real Estate Recovery Fund","Ashmore Investment","Peter Davies","44-203-077-6208","Opportunity","$250,000,000 ","$45,000,000 ","","25","25","Office","United States","1/11/12"
"654","Vbi Brazil Real Estate Opportunities Fund 2","VBI","Rodrigo Abbud","55-11-3817-1788","Opportunity","$500,000,000 ","$100,000,000 ","","25","25","Multifamily, Office","Russia, Eastern Europe","1/11/12"
"655","Trophy Property Development Fund 2","Winnington Capital","Kenneth Hung","852-2-913-7000","Opportunity","$500,000,000 ","$100,100,000 ","","25","25","Development","Brazil","1/11/12"
"656","Patria Brazil Real Estate Fund 2","Patria Investimentos","Olimpio Matarazzo-neto","55-11-3039-9000","Opportunity","$400,000,000 ","$397,000,000 ","","25","25","Office","China","1/11/12"
"657","Lone Star Real Estate Fund 2","Lone Star Funds","Len Allen","214-754-8300","High Yield Debt","$4,000,000,000 ","$1,700,000,000 ","","25","25","Office","Brazil","1/11/12"
"658","Rainier Preferred Income Fund 5","Rainier Capital","Tim Nichols","214-234-8210","High Yield Debt","$50,000,000 ","$22,000,000 ","$20,000,000 ","9-11","9","Mortgages","United States, Japan","1/11/12"
"659","Bristol Industrial 2","Bristol Group","Jim Curtis","415-398-1022","Core","$250,000,000 ","$150,000,000 ","","9-12","9","Industrial","Texas","1/11/12"
"660","Ag Net Lease Realty Fund 2","Angelo Gordon & Co.","Gordon Whiting","212-883-4157","Core","$560,000,000 ","$560,000,000 ","$140,000,000 ","10-12","10","Office","United States","1/11/12"
"661","Aew Senior Housing Investors","AEW Capital","Chris Kazantis","617-261-9360","Core","$188,000,000 ","$188,000,000 ","$116,000,000 ","10-12","10","Senior Housing","United States","1/11/12"
"662","Trez Capital Finance Fund 2","Trez Capital","Mario Abreu","416-350-1293","High Yield Debt","$205,192,000 ","$153,791,609 ","$82,117,756 ","10-12","10","Mortgages","United States","1/11/12"
"663","U.S. Core Plus Fund","USAA Real Estate","Bruce Petersen","210-641-8408","Core","$325,000,000 ","","","10-12","10","Office","Canada","1/11/12"
"664","Niam Nordic Core-plus Fund","Niam AB","Fredrik Jonsson","46-70-844-3023","Core","$413,310,000 ","","","10-12","10","Office","United States","1/11/12"
"665","Ge Capital Real Estate Debt Fund","GE Capital Real Estate","Skip Wells","203-750-2944","High Yield Debt","$3,000,000,000 ","","","10-12","10","Mortgages","Denmark, Finland, Norway, Sweden","1/11/12"
"666","Investors Diversified Realty Fund","Investors Diversified Realty","Gary Zdolshek","216-622-0004","Fund of Funds","$300,000,000 ","$50,000,000 ","","10-12","10","Office, Multifamily, Retail","United States, Canada, Mexico","1/11/12"
"667","Thackeray Partners Realty Fund 2","Thackeray Partners","Tony Dona","214-360-7833","Core","$295,000,000 ","$295,000,000 ","$200,000,000 ","10-13","10","Office","United States","1/11/12"
"668","Divcowest Fund 3","DivcoWest Properties","Stuart Schiff","415-284-5700","Core","$400,000,000 ","","","10-13","10","Office","United States","1/11/12"
"669","Colony Realty Partners 4","Colony Capital","Scott Freeman","617-235-6363","Core","$500,000,000 ","","","10-13","10","Office","United States","1/11/12"
"670","Brookfield Core-plus Office Fund","Brookfield Asset Management","Scott White","212-417-2578","Core","$1,000,000,000 ","","","10-13","10","Office","United States","1/11/12"
"671","U.S. Industrial Reit 3","USAA Real Estate","Bruce Petersen","210-641-8408","Core","$241,700,000 ","$241,700,000 ","$170,000,000 ","11-12","11","Industrial","United States","1/11/12"
"672","Paramount Group Real Estate Fund 7","Paramount Group","Dan Lauer","212-237-3109","Core","$1,000,000,000 ","","","11-12","11","Office","United States","1/11/12"
"673","Mesa West Real Estate Income Fund 2","Mesa West Capital","Jeff Friedman","310-806-6300","High Yield Debt","$614,500,000 ","$614,500,000 ","$215,000,000 ","11-13","11","Mezzanine Loans, Preferred Equity, Distressed, Mortgages","New York City, San Francisco, Washington D.C., Boston, Los Angeles","1/11/12"
"674","Emerald Creek Capital Fund 1","Emerald Creek Capital","Mark Bahiri","212-239-6861","High Yield Debt","$250,000,000 ","","","11-13","11","Mortgages","Western United States","1/11/12"
"675","Casa Partners 5","Henderson Global Investors","J.P. Rachmaninoff","312-397-1486","Core","$400,000,000 ","$30,000,000 ","","11-13","11","Multifamily","United States","1/11/12"
"676","Cornerstone Enhanced Mortgage Fund 1","Cornerstone Real Estate","Robert Little","860-509-2400","High Yield Debt","$500,000,000 ","","","11-14","11","Mortgages","United States","1/11/12"
"677","Lem Real Estate High-yield Debt Fund","LEM Partners","Herb Miller","215-557-9600","High Yield Debt","$300,000,000 ","$100,000,000 ","","11-14","11","Mezzanine Loans","United States","1/11/12"
"678","Transwestern Multifamily Partners","Transwestern Investment","Edward Ryder","312-499-1917","Core","$227,000,000 ","$227,000,000 ","$103,000,000 ","12-13","12","Multifamily","United States","1/11/12"
"679","Heitman Value Partners Fund 2","Heitman","Jim Bachner","312-541-6770","Value Add","$800,000,000 ","$800,000,000 ","$457,000,000 ","12-14","12","Office","United States","1/11/12"
"680","Douglas Emmett Fund 10","Douglas Emmett","Jordan Kaplan","310-255-7700","Value Add","$549,300,000 ","$549,300,000 ","$282,000,000 ","12-14","12","Office","United States, Mexico","1/11/12"
"681","Cabot Industrial Value Fund 3","Cabot Properties","Andrew Ebbott","617-723-2397","Value Add","$680,000,000 ","$680,000,000 ","$250,000,000 ","12-14","12","Industrial","United States","1/11/12"
"682","Prime Finance Partners 2","Prime Finance","Jon Brayshaw","212-231-9071","High Yield Debt","$440,000,000 ","$440,000,000 ","$163,000,000 ","12-14","12","Office","United States","1/11/12"
"683","Triseas Korea Property Fund 2","Doran Capital","Pietro Doran","822-745-5855","Value Add","$200,000,000 ","$100,000,000 ","$20,000,000 ","12-14","12","Office","United States","1/11/12"
"684","Security Properties Multifamily Fund","Security Properties","David Dufenhorst","206-622-9900","Value Add","$50,000,000 ","","","12-14","12","Multifamily","South Korea","1/11/12"
"685","Tuckerman Multi Family Fund 5","Tuckerman Group","Paul Behar","914-701-4432","Value Add","$200,000,000 ","","","12-14","12","Multifamily","Western United States","1/11/12"
"686","Southwest Multifamily Partners","CityView","Sean Burton","310-566-8700","Value Add","$200,000,000 ","","","12-14","12","Multifamily","United States","1/11/12"
"687","Milestone Real Estate Investors Fund 3","Milestone Group","Jeffrey Goldberg","212-871-5905","Value Add","$300,000,000 ","","","12-14","12","Multifamily","Southwestern United States","1/11/12"
"688","Five Arrows Realty Securities 5","Rothschild Realty","Matthew Kaplan","212-403-3515","Value Add","$840,000,000 ","$840,000,000 ","$490,000,000 ","12-15","12","Seed Capital","United States","1/11/12"
"689","Legacy Partners Realty Fund 3","Legacy Partners","John Faust","650-235-2600","Value Add","$451,000,000 ","$451,000,000 ","$288,000,000 ","12-15","12","Office, Industrial","United States, Canada","1/11/12"
"690","Carmel Partners Investment Fund 3","Carmel Partners","Chris Beda","415-273-2900","Value Add","$700,000,000 ","$700,000,000 ","$250,000,000 ","12-15","12","Multifamily","Western United States, Los Angeles","1/11/12"
"691","East End Capital Fund","East End Capital","Jonathon Yormak","212-600-2115","Value Add","$50,000,000 ","","","12-15","12","Office","Western United States","1/11/12"
"692","Investcorp Real Estate Credit Fund 2","Investcorp","Christopher Hoeffel","212-703-1147","High Yield Debt","$200,000,000 ","","","12-15","12","Mezzanine Loans, Preferred Equity, Distressed, Mortgages","Eastern United States, Washington D.C., Philadelphia, New York City","1/11/12"
"693","Cam Industrial Value Fund 2","Cohen Asset Management","Jason Haas","310-860-0598","Value Add","$300,000,000 ","","","12-15","12","Industrial","United States","1/11/12"
"694","Cobalt Industrial Reit 3","Cobalt Capital Partners","Lew Friedland","972-893-7000","Value Add","$400,000,000 ","","","12-15","12","Industrial","United States","1/11/12"
"695","Prudential U.S. Real Estate Debt Fund","Prudential Real Estate Investors","Jack Taylor","212-515-8101","High Yield Debt","$500,000,000 ","","","12-15","12","Mortgages","United States","1/11/12"
"696","Paramount Group Real Estate Fund 6","Paramount Group","Dan Lauer","212-237-3109","High Yield Debt","$250,000,000 ","$100,000,000 ","","12-15","12","Office","United States","1/11/12"
"697","New Vista Investment Group Fund 1","New Vista Investment","Fred Caffey","312-629-3141","Value Add","$150,000,000 ","$136,000,000 ","","12-15","12","Office","United States","1/11/12"
"698","Pramerica Real Estate Euromezz Fund","Pramerica Real Estate Investors","Andrew Macland","44-207-766-2445","High Yield Debt","$813,350,000 ","$243,789,257 ","","12-15","12","Mezzanine Loans","United States","1/11/12"
"699","Mgra Genesis Value Added Fund 2","MayfieldGentry Realty","Emery Matthews","313-221-1270","Value Add","$400,000,000 ","","","12-16","12","Office","Europe","1/11/12"
"700","Brickman Fund 5","Brickman Associates","Kathy Corton","212-541-5500","Value Add","$300,000,000 ","$75,000,000 ","","12-16","12","Distressed","United States","1/11/12"
"701","Vornado Capital Partners","Vornado Realty Trust","Michael Fascitelli","212-894-7000","Value Add","$800,000,000 ","$800,000,000 ","","12-16","12","Office","United States","1/11/12"
"702","Malkin Strategic Capital 6","Malkin Properties","George Perry","212-883-9436","High Yield Debt","$50,000,000 ","","","10+","10+","Mezzanine Loans","New York City","1/11/12"
"703","Sarofim Multifamily Development Fund 2","Sarofim Realty","Michael Doramus","214-692-4200","Core","$60,000,000 ","$60,000,000 ","$37,000,000 ","12.5+","12.5+","Senior Housing","United States","1/11/12"
"704","Penn Square Global Real Estate Fund 2","Penn Square Real Estate","Jon Albro","610-745-4861","Fund of Funds","$145,000,000 ","$145,000,000 ","$76,900,000 ","12+","12+","Office","Southwestern United States","1/11/12"
"705","Western National Realty Advisors Fund 2","Western National Realty","Jerry Lapointe","949-862-6205","Core","$227,000,000 ","$227,000,000 ","$71,000,000 ","12+","12+","Multifamily","United States","1/11/12"
"706","Thomas High Performance Real Estate Fund","Thomas Properties","Steve Todd","213-830-2268","Core","$180,000,000 ","$180,000,000 ","","12+","12+","Office","California","1/11/12"
"707","Ta Associates Realty Fund 9","TA Associates Realty","Tom Landry","617-476-2740","Value Add","$1,687,500,000 ","$1,687,500,000 ","","13+","13+","Office","United States","1/11/12"
"708","Dra Growth & Income Fund 6","DRA Advisors","David Luski","212-697-4740","Value Add","$1,250,000,000 ","$1,250,000,000 ","$900,000,000 ","13-15","13","Retail","United States","1/11/12"
"709","Tishman Speyer Real Estate Venture 7","Tishman Speyer","Peter Berg","212-715-0364","Value Add","$1,500,000,000 ","$1,500,000,000 ","$776,000,000 ","13-15","13","Office","United States","1/11/12"
"710","Goldman Sachs Real Estate Mezzanine Partners","Goldman Sachs","Alan Kava","212-902-1000","High Yield Debt","$2,610,000,000 ","$2,610,000,000 ","$477,000,000 ","13-15","13","Mezzanine Loans","United States","1/11/12"
"711","Baynorth Realty Fund 7","BayNorth Capital","Charles Wu","617-570-4400","Value Add","$472,500,000 ","$472,500,000 ","$330,000,000 ","13-15","13","Office, Multifamily","United States, Canada","1/11/12"
"712","Carbon Capital Fund 3","BlackRock Realty","Chris Milner","212-754-3551","High Yield Debt","$461,000,000 ","$461,000,000 ","$290,000,000 ","13-15","13","Office, Multifamily","United States, Europe","1/11/12"
"713","American Value Partners Fund 1","AVP Advisors","Barry Chase","310-689-7716","Fund of Funds","$400,000,000 ","$400,000,000 ","$227,000,000 ","13-15","13","Office","United States","1/11/12"
"714","Ktr Industrial Fund 2","KTR Capital","Robert Savage","212-710-5060","Value Add","$700,000,000 ","$700,000,000 ","$210,000,000 ","13-15","13","Industrial","United States","1/11/12"
"715","Transwestern Mezzanine Realty Partners 3","Transwestern Investment","Thomas Mccahill","303-328-2717","High Yield Debt","$427,000,000 ","$427,000,000 ","$175,000,000 ","13-15","13","Mezzanine Loans","United States","1/11/12"
"716","Heitman European Property Partners 4","Heitman","Gordon Black","44-207-318-1035","Value Add","$695,738,500 ","$695,738,500 ","$137,116,347 ","13-15","13","Office","United States","1/11/12"
"717","Wrightwood Capital High Yield Partners 2","Wrightwood Capital","David Friedman","312-324-5900","High Yield Debt","$243,000,000 ","$243,000,000 ","$90,000,000 ","13-15","13","Mezzanine Loans, Preferred Equity, Distressed","Europe, Ukraine, Russia","1/11/12"
"718","Fairwood Hospitality Investors","Fairwood Capital","Ed Ansbro, Todd Solmson","901-842-5307","Value Add","$150,000,000 ","$150,000,000 ","$75,000,000 ","13-15","13","Lodging","United States","1/11/12"
"719","Phillips Edison Shopping Center Fund 4","Phillips Edison & Co.","John Bessey","513-619-5037","Value Add","$120,000,000 ","$120,000,000 ","$62,400,000 ","13-15","13","Retail","United States","1/11/12"
"720","Dalfen America Corp. Value-added Industrial Fund 4","Dalfen America","Sean Dalfen","514-938-1050","Value Add","$100,000,000 ","$100,000,000 ","$5,000,000 ","13-15","13","Industrial","United States","1/11/12"
"721","Metropolitan Real Estate Partners International Fund 3","Metropolitan Real Estate Equity","Jeff Gardner","212-812-4945","Fund of Funds","$168,000,000 ","$168,000,000 ","$5,000,000 ","13-15","13","Office","United States","1/11/12"
"722","Abacus Multifamily Partners 2","Abacus Capital","Greg Lyden","212-203-4963","Value Add","$250,000,000 ","","","13-15","13","Office","Europe","1/11/11"
"723","Dra Growth & Income Fund 7","DRA Advisors","David Luski","212-697-4740","Value Add","$850,000,000 ","","","13-15","13","Office","United States","1/11/11"
