"","CIP_Classificaiton","Year","ID_School","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"1571","Psychology","1984-1985","ND",24,0,0,0,1,30,0,1,0,4,0,0
"1572","Social Sciences and History","1984-1985","ND",198,0,0,2,0,80,6,5,5,3,0,0
"1573","Visual and performing arts.","1984-1985","ND",19,0,0,0,0,12,3,0,5,2,0,1
"1574","Business- Management- Marketing- and Related Support Services","1984-1985","ND",328,1,0,5,4,98,8,4,6,5,0,0
"1575","Agriculture- Agriculture Operations and Related Sciences","1984-1985","NEB",123,0,0,0,0,16,0,0,1,0,0,0
"1576","Agricultural Sciences","1984-1985","NEB",95,0,0,1,0,28,0,0,0,0,0,0
"1577","Natural Resources and Conservation","1984-1985","NEB",24,0,0,0,0,8,0,0,0,0,0,1
"1578","Architecture and Related Services","1984-1985","NEB",36,0,0,0,1,8,0,0,0,0,0,0
"1579","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","NEB",1,0,0,0,0,0,0,0,0,0,0,0
"1580","Communication- Journalism- and Related Programs","1984-1985","NEB",73,0,0,0,2,133,0,0,3,2,0,0
"1581","Computer and Information Sciences and Support Services","1984-1985","NEB",45,0,0,11,2,20,0,1,0,0,1,0
"1582","Education","1984-1985","NEB",127,0,0,0,0,259,0,3,3,2,0,0
"1583","Engineering","1984-1985","NEB",252,0,0,23,1,29,1,0,3,0,1,0
"1584","Engineering Technologies and Engineering-related Fields","1984-1985","NEB",116,0,0,0,0,9,0,1,4,0,0,0
"1585","Foreign Languages- Literatures- and Linguistics","1984-1985","NEB",13,0,0,0,1,16,1,1,0,0,0,0
"1586","Health Sciences","1984-1985","NEB",7,0,0,0,1,20,0,0,1,0,0,0
"1587","Family and Consumer Sciences/Human Sciences","1984-1985","NEB",10,0,0,0,2,222,2,0,0,3,0,0
"1588","English language and literature/letters.","1984-1985","NEB",24,0,0,0,0,27,2,1,0,0,0,0
"1589","Liberal arts and sciences- general studies and humanities.","1984-1985","NEB",2,0,0,0,0,6,0,0,0,0,0,0
"1590","Biological and Biomedical Sciences","1984-1985","NEB",59,0,0,2,0,39,1,0,0,0,0,0
"1591","Mathematics and Statistics","1984-1985","NEB",22,0,0,4,2,18,0,0,0,0,0,0
"1592","Multi/Interdisciplinary Studies","1984-1985","NEB",11,0,0,0,1,12,0,0,0,0,0,0
"1593","Parks- Recreation- Leisure and Fitness Studies","1984-1985","NEB",4,0,0,0,0,19,0,0,0,0,0,0
"1594","Philosophy and Religious Studies","1984-1985","NEB",4,0,0,0,0,1,0,0,0,0,0,0
"1595","Physical Sciences","1984-1985","NEB",47,0,0,0,0,9,1,0,0,1,0,0
"1596","Psychology","1984-1985","NEB",16,0,0,0,0,47,0,0,0,0,0,0
"1597","Social Sciences and History","1984-1985","NEB",96,0,0,4,1,43,1,1,1,1,0,1
"1598","Visual and performing arts.","1984-1985","NEB",22,0,0,0,0,35,1,0,0,0,0,0
"1599","Health Professions and Related Programs","1984-1985","NEB",1,0,0,0,0,5,0,0,0,1,0,0
"1600","Business- Management- Marketing- and Related Support Services","1984-1985","NEB",370,0,0,8,4,272,2,0,1,1,0,0
"1601","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","NWST",10,0,0,0,0,8,0,0,0,0,0,0
"1602","Communication- Journalism- and Related Programs","1984-1985","NWST",108,0,1,3,9,140,3,5,14,20,0,1
"1603","Computer and Information Sciences and Support Services","1984-1985","NWST",47,0,0,4,4,17,0,0,5,3,1,0
"1604","Education","1984-1985","NWST",26,0,0,1,1,53,2,2,3,5,0,0
"1605","Engineering","1984-1985","NWST",162,0,0,19,8,56,1,0,15,9,0,0
"1606","Foreign Languages- Literatures- and Linguistics","1984-1985","NWST",4,0,0,0,0,20,0,0,0,1,0,0
"1607","Health Sciences","1984-1985","NWST",23,0,0,4,4,77,0,0,1,10,0,0
"1608","English language and literature/letters.","1984-1985","NWST",29,0,0,0,3,40,0,0,0,1,0,0
"1609","Biological and Biomedical Sciences","1984-1985","NWST",27,0,0,8,6,24,1,0,4,3,0,0
"1610","Mathematics and Statistics","1984-1985","NWST",13,1,0,1,2,6,0,0,0,0,0,0
"1611","Multi/Interdisciplinary Studies","1984-1985","NWST",11,0,0,1,0,6,0,0,0,0,0,0
"1612","Philosophy and Religious Studies","1984-1985","NWST",9,0,0,0,0,6,0,1,0,0,0,0
"1613","Physical Sciences","1984-1985","NWST",26,0,0,5,2,9,1,0,0,1,0,0
"1614","Psychology","1984-1985","NWST",22,0,0,3,4,22,0,2,1,4,0,0
"1615","Public administration and social service professions.","1984-1985","NWST",17,0,1,0,1,45,0,0,5,1,0,0
"1616","Social Sciences and History","1984-1985","NWST",194,0,0,9,4,148,2,4,16,14,0,0
"1617","Visual and performing arts.","1984-1985","NWST",61,0,1,1,2,89,1,2,3,5,0,0
"1618","Health Professions and Related Programs","1984-1985","NWST",28,5,2,1,2,62,0,0,0,0,0,0
"1619","Business- Management- Marketing- and Related Support Services","1984-1985","NWST",0,0,0,0,0,2,0,1,0,0,0,0
"1620","Architecture and Related Services","1984-1985","OK",49,24,4,0,2,22,0,0,3,0,1,0
"1621","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","OK",2,0,0,0,0,1,0,0,0,0,0,0
"1622","Communication- Journalism- and Related Programs","1984-1985","OK",66,0,1,0,0,99,1,0,4,3,2,1
"1623","Communications Technologies/Technicians and Support Services","1984-1985","OK",17,0,0,0,0,22,0,0,1,1,0,0
"1624","Computer and Information Sciences and Support Services","1984-1985","OK",47,11,1,2,1,16,0,0,0,0,1,0
"1625","Education","1984-1985","OK",26,0,3,0,0,139,0,1,0,3,1,2
"1626","Engineering","1984-1985","OK",261,38,1,15,3,40,2,0,6,0,1,1
"1627","Foreign Languages- Literatures- and Linguistics","1984-1985","OK",6,0,1,0,0,13,0,0,0,0,0,1
"1628","Health Sciences","1984-1985","OK",5,1,1,0,0,3,0,0,0,0,0,0
"1629","Family and Consumer Sciences/Human Sciences","1984-1985","OK",0,0,0,0,3,37,0,0,0,4,0,2
"1630","English language and literature/letters.","1984-1985","OK",28,0,1,0,0,31,0,0,1,1,0,0
"1631","Liberal arts and sciences- general studies and humanities.","1984-1985","OK",6,0,0,0,0,7,0,0,0,0,0,0
"1632","Biological and Biomedical Sciences","1984-1985","OK",33,0,1,1,0,20,1,1,2,1,2,0
"1633","Mathematics and Statistics","1984-1985","OK",24,0,0,0,1,17,0,1,0,0,0,0
"1634","Parks- Recreation- Leisure and Fitness Studies","1984-1985","OK",7,0,0,0,0,8,0,0,2,1,0,0
"1635","Philosophy and Religious Studies","1984-1985","OK",4,0,0,0,0,1,0,0,1,0,0,0
"1636","Physical Sciences","1984-1985","OK",72,1,3,0,1,29,0,0,0,0,2,0
"1637","Psychology","1984-1985","OK",26,0,0,1,0,43,0,1,2,2,1,1
"1638","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","OK",11,0,0,0,0,12,0,0,0,4,1,0
"1639","Public administration and social service professions.","1984-1985","OK",9,0,0,0,0,21,0,0,1,1,0,1
"1640","Social Sciences and History","1984-1985","OK",81,0,2,1,1,58,2,0,1,2,4,2
"1641","Visual and performing arts.","1984-1985","OK",29,3,2,0,0,36,1,1,4,1,0,0
"1642","Business- Management- Marketing- and Related Support Services","1984-1985","OK",384,31,8,3,4,235,1,3,10,8,5,5
"1643","Agriculture- Agriculture Operations and Related Sciences","1984-1985","OKSTATE",84,3,0,0,0,26,1,0,0,0,0,0
"1644","Agricultural Sciences","1984-1985","OKSTATE",103,13,3,1,1,39,2,0,2,0,2,1
"1645","Natural Resources and Conservation","1984-1985","OKSTATE",19,0,0,0,0,5,0,0,0,0,0,0
"1646","Architecture and Related Services","1984-1985","OKSTATE",6,0,0,0,0,5,0,0,0,0,0,0
"1647","Communication- Journalism- and Related Programs","1984-1985","OKSTATE",66,1,0,0,0,62,0,0,1,3,0,2
"1648","Computer and Information Sciences and Support Services","1984-1985","OKSTATE",43,13,5,1,1,18,1,0,2,0,1,0
"1649","Education","1984-1985","OKSTATE",147,3,2,0,2,240,0,2,2,1,3,5
"1650","Engineering","1984-1985","OKSTATE",221,110,4,15,0,20,1,1,3,1,2,0
"1651","Engineering Technologies and Engineering-related Fields","1984-1985","OKSTATE",215,25,1,4,1,10,1,0,6,2,3,0
"1652","Foreign Languages- Literatures- and Linguistics","1984-1985","OKSTATE",1,0,0,0,0,6,0,0,0,0,0,0
"1653","Health Sciences","1984-1985","OKSTATE",3,0,1,0,0,24,0,1,0,1,0,1
"1654","Family and Consumer Sciences/Human Sciences","1984-1985","OKSTATE",7,1,5,0,3,92,0,0,1,7,0,1
"1655","English language and literature/letters.","1984-1985","OKSTATE",15,0,2,0,0,23,0,0,0,0,1,0
"1656","Liberal arts and sciences- general studies and humanities.","1984-1985","OKSTATE",3,0,0,0,0,2,0,0,0,0,0,0
"1657","Biological and Biomedical Sciences","1984-1985","OKSTATE",63,4,2,1,1,36,1,2,2,0,2,2
"1658","Mathematics and Statistics","1984-1985","OKSTATE",5,3,2,2,0,5,0,0,0,1,0,0
"1659","Military Services","1984-1985","OKSTATE",1,0,0,0,0,0,0,0,0,0,0,0
"1660","Multi/Interdisciplinary Studies","1984-1985","OKSTATE",3,0,0,0,0,1,0,0,0,0,0,0
"1661","Parks- Recreation- Leisure and Fitness Studies","1984-1985","OKSTATE",4,0,0,0,0,20,0,0,2,0,0,0
"1662","Philosophy and Religious Studies","1984-1985","OKSTATE",1,1,0,0,0,2,0,0,0,0,0,0
"1663","Physical Sciences","1984-1985","OKSTATE",58,2,0,0,0,10,2,0,1,0,0,1
"1664","Psychology","1984-1985","OKSTATE",30,1,1,0,0,32,0,1,0,3,0,0
"1665","Social Sciences and History","1984-1985","OKSTATE",65,4,0,0,0,71,0,1,4,2,2,1
"1666","Visual and performing arts.","1984-1985","OKSTATE",7,1,0,0,0,14,0,0,2,0,0,1
"1667","Business- Management- Marketing- and Related Support Services","1984-1985","OKSTATE",457,43,27,3,1,424,2,2,14,9,11,2
"1668","Architecture and Related Services","1984-1985","ORE",15,1,1,2,0,28,0,0,0,0,0,0
"1669","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","ORE",3,0,0,0,0,2,0,0,0,0,0,0
"1670","Communication- Journalism- and Related Programs","1984-1985","ORE",90,2,3,3,10,120,1,1,1,1,0,0
"1671","Computer and Information Sciences and Support Services","1984-1985","ORE",42,13,9,3,3,15,1,0,0,0,0,0
"1672","Education","1984-1985","ORE",56,0,2,0,1,110,1,1,1,0,0,0
"1673","Foreign Languages- Literatures- and Linguistics","1984-1985","ORE",19,0,2,1,2,48,3,1,0,1,0,0
"1674","Health Sciences","1984-1985","ORE",0,0,0,0,0,16,0,0,0,0,0,0
"1675","Family and Consumer Sciences/Human Sciences","1984-1985","ORE",0,0,0,0,0,9,0,0,0,0,0,0
"1676","English language and literature/letters.","1984-1985","ORE",38,1,5,3,8,73,0,2,1,1,1,0
"1677","Liberal arts and sciences- general studies and humanities.","1984-1985","ORE",0,0,0,0,0,2,0,0,0,0,0,0
"1678","Biological and Biomedical Sciences","1984-1985","ORE",27,4,0,4,0,22,0,1,0,0,0,0
"1679","Mathematics and Statistics","1984-1985","ORE",19,2,2,0,1,9,0,0,0,0,0,0
"1680","Multi/Interdisciplinary Studies","1984-1985","ORE",28,0,0,0,1,20,0,0,1,0,0,0
"1681","Parks- Recreation- Leisure and Fitness Studies","1984-1985","ORE",14,0,2,1,1,37,0,0,1,1,0,0
"1682","Philosophy and Religious Studies","1984-1985","ORE",10,0,0,0,0,3,0,0,0,0,0,0
"1683","Physical Sciences","1984-1985","ORE",33,5,1,2,2,13,0,0,0,0,0,0
"1684","Psychology","1984-1985","ORE",52,2,2,2,4,91,0,1,1,0,2,0
"1685","Public administration and social service professions.","1984-1985","ORE",16,1,0,0,2,39,0,0,0,1,1,1
"1686","Social Sciences and History","1984-1985","ORE",192,13,7,8,4,101,5,0,3,2,0,1
"1687","Visual and performing arts.","1984-1985","ORE",111,9,4,4,3,86,3,1,0,1,0,0
"1688","Business- Management- Marketing- and Related Support Services","1984-1985","ORE",225,43,14,17,13,145,2,2,2,0,0,2
"1689","Agriculture- Agriculture Operations and Related Sciences","1984-1985","ORE.ST",48,0,0,1,0,14,0,1,0,0,2,1
"1690","Agricultural Sciences","1984-1985","ORE.ST",47,2,2,0,0,39,0,0,0,0,4,2
"1691","Natural Resources and Conservation","1984-1985","ORE.ST",93,0,1,1,1,30,0,0,1,1,2,0
"1692","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","ORE.ST",2,0,0,0,0,0,0,0,0,0,0,0
"1693","Communication- Journalism- and Related Programs","1984-1985","ORE.ST",17,0,1,0,0,27,0,0,0,1,1,2
"1694","Computer and Information Sciences and Support Services","1984-1985","ORE.ST",83,11,2,5,7,13,0,0,0,0,1,1
"1695","Education","1984-1985","ORE.ST",131,0,1,4,4,215,0,4,0,1,4,6
"1696","Engineering","1984-1985","ORE.ST",253,10,1,24,6,32,0,0,1,1,4,1
"1697","Engineering Technologies and Engineering-related Fields","1984-1985","ORE.ST",48,0,0,2,0,5,0,0,0,0,1,0
"1698","Foreign Languages- Literatures- and Linguistics","1984-1985","ORE.ST",4,0,0,0,0,11,0,0,0,0,0,0
"1699","Health Sciences","1984-1985","ORE.ST",36,2,1,1,7,36,0,0,0,0,0,0
"1700","Family and Consumer Sciences/Human Sciences","1984-1985","ORE.ST",4,0,0,0,5,127,0,1,1,0,0,3
"1701","English language and literature/letters.","1984-1985","ORE.ST",22,0,1,1,2,46,1,1,5,3,2,0
"1702","Biological and Biomedical Sciences","1984-1985","ORE.ST",68,1,0,5,1,57,1,1,1,1,2,0
"1703","Mathematics and Statistics","1984-1985","ORE.ST",48,2,0,6,2,5,0,1,0,0,1,1
"1704","Multi/Interdisciplinary Studies","1984-1985","ORE.ST",44,0,0,6,2,34,0,1,0,0,3,0
"1705","Parks- Recreation- Leisure and Fitness Studies","1984-1985","ORE.ST",9,0,0,1,0,10,0,0,0,0,0,0
"1706","Philosophy and Religious Studies","1984-1985","ORE.ST",1,0,0,0,0,3,0,0,2,0,0,0
"1707","Physical Sciences","1984-1985","ORE.ST",56,0,0,3,0,11,0,0,0,0,1,0
"1708","Psychology","1984-1985","ORE.ST",14,0,0,1,0,28,0,0,0,0,0,1
"1709","Social Sciences and History","1984-1985","ORE.ST",109,1,0,3,0,72,1,3,3,1,4,1
"1710","Visual and performing arts.","1984-1985","ORE.ST",20,0,1,0,1,29,0,1,0,0,0,1
"1711","Health Professions and Related Programs","1984-1985","ORE.ST",2,0,0,0,1,3,0,0,0,0,0,0
"1712","Business- Management- Marketing- and Related Support Services","1984-1985","ORE.ST",379,7,6,13,18,220,4,1,5,0,10,6
"1713","Agriculture- Agriculture Operations and Related Sciences","1984-1985","OSU",65,0,1,0,0,17,0,0,2,0,0,0
"1714","Agricultural Sciences","1984-1985","OSU",138,4,0,0,0,118,1,0,4,0,0,0
"1715","Natural Resources and Conservation","1984-1985","OSU",62,0,0,0,0,23,0,0,0,0,0,0
"1716","Architecture and Related Services","1984-1985","OSU",87,4,0,1,0,22,3,0,1,1,0,0
"1717","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","OSU",0,0,0,0,0,5,0,0,1,1,0,0
"1718","Marketing and Distribution","1984-1985","OSU",280,4,1,5,1,191,2,1,3,14,1,1
"1719","Communication- Journalism- and Related Programs","1984-1985","OSU",133,1,0,1,0,236,0,1,3,12,2,0
"1720","Computer and Information Sciences and Support Services","1984-1985","OSU",165,12,3,2,7,59,1,0,2,3,0,0
"1721","Education","1984-1985","OSU",214,40,2,1,3,517,2,3,7,8,1,2
"1722","Engineering","1984-1985","OSU",675,74,5,12,1,114,2,0,6,3,1,0
"1723","Foreign Languages- Literatures- and Linguistics","1984-1985","OSU",22,0,0,0,1,27,0,1,1,1,0,0
"1724","Health Sciences","1984-1985","OSU",62,0,3,1,3,283,0,1,0,9,0,0
"1725","Family and Consumer Sciences/Human Sciences","1984-1985","OSU",17,0,0,0,2,173,1,0,0,7,0,0
"1726","English language and literature/letters.","1984-1985","OSU",32,0,0,0,1,51,1,2,1,1,0,0
"1727","Biological and Biomedical Sciences","1984-1985","OSU",126,1,2,2,5,77,2,1,4,1,0,0
"1728","Mathematics and Statistics","1984-1985","OSU",31,3,1,1,1,8,0,0,2,3,0,0
"1729","Multi/Interdisciplinary Studies","1984-1985","OSU",13,0,0,0,0,21,0,1,0,0,0,0
"1730","Parks- Recreation- Leisure and Fitness Studies","1984-1985","OSU",23,1,0,0,0,7,0,0,0,0,0,0
"1731","Philosophy and Religious Studies","1984-1985","OSU",5,0,0,0,0,2,0,0,0,0,0,0
"1732","Physical Sciences","1984-1985","OSU",67,1,0,1,1,24,1,0,0,0,0,0
"1733","Psychology","1984-1985","OSU",69,0,1,0,2,109,1,2,2,7,0,1
"1734","Public administration and social service professions.","1984-1985","OSU",13,0,0,0,0,72,2,0,3,3,0,0
"1735","Social Sciences and History","1984-1985","OSU",221,1,0,1,3,156,2,4,8,14,0,1
"1736","Transportation and materials moving.","1984-1985","OSU",34,0,0,1,1,5,0,0,1,0,0,0
"1737","Visual and performing arts.","1984-1985","OSU",119,0,0,0,1,113,0,2,5,2,0,0
"1738","Health Professions and Related Programs","1984-1985","OSU",44,0,2,0,1,204,0,0,0,5,0,0
"1739","Business- Management- Marketing- and Related Support Services","1984-1985","OSU",650,14,14,10,7,380,5,3,9,10,1,0
"1740","Agriculture- Agriculture Operations and Related Sciences","1984-1985","RUT",48,0,0,1,1,29,1,1,3,4,0,0
"1741","Agricultural Sciences","1984-1985","RUT",44,0,0,1,1,53,3,1,1,2,0,1
"1742","Natural Resources and Conservation","1984-1985","RUT",17,0,0,0,0,8,0,0,0,0,0,0
"1743","Architecture and Related Services","1984-1985","RUT",19,0,0,0,0,12,1,1,0,1,0,0
"1744","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","RUT",2,0,0,0,0,13,1,1,5,7,0,0
"1745","Communication- Journalism- and Related Programs","1984-1985","RUT",65,0,0,2,2,195,3,5,6,24,0,2
"1746","Computer and Information Sciences and Support Services","1984-1985","RUT",135,0,0,12,10,86,3,0,1,6,0,0
"1747","Education","1984-1985","RUT",11,0,0,1,0,34,1,1,2,4,0,0
"1748","Engineering","1984-1985","RUT",373,0,0,43,16,80,7,2,11,4,0,0
"1749","Foreign Languages- Literatures- and Linguistics","1984-1985","RUT",15,0,0,0,3,60,11,11,4,7,0,0
"1750","Health Sciences","1984-1985","RUT",29,0,0,0,3,93,1,2,1,4,0,0
"1751","Family and Consumer Sciences/Human Sciences","1984-1985","RUT",1,0,0,0,1,49,0,1,0,4,0,0
"1752","English language and literature/letters.","1984-1985","RUT",86,0,0,0,2,179,4,3,3,16,0,0
"1753","Liberal arts and sciences- general studies and humanities.","1984-1985","RUT",8,0,0,0,0,66,0,6,0,1,0,0
"1754","Biological and Biomedical Sciences","1984-1985","RUT",145,0,0,16,7,167,2,8,6,7,0,0
"1755","Mathematics and Statistics","1984-1985","RUT",36,0,0,2,2,28,0,0,1,2,0,0
"1756","Multi/Interdisciplinary Studies","1984-1985","RUT",0,0,0,0,0,1,0,0,0,0,0,0
"1757","Philosophy and Religious Studies","1984-1985","RUT",13,0,0,0,0,8,0,0,0,0,0,0
"1758","Physical Sciences","1984-1985","RUT",78,0,0,3,4,32,0,0,0,3,0,0
"1759","Psychology","1984-1985","RUT",63,0,0,0,10,203,5,8,4,8,0,0
"1760","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","RUT",17,0,0,0,0,7,1,1,3,2,0,0
"1761","Public administration and social service professions.","1984-1985","RUT",1,0,0,0,0,19,0,2,0,0,0,0
"1762","Social Sciences and History","1984-1985","RUT",475,0,0,12,15,457,13,17,34,62,1,2
"1763","Visual and performing arts.","1984-1985","RUT",40,0,0,1,1,99,2,2,4,6,1,0
"1764","Health Professions and Related Programs","1984-1985","RUT",6,0,0,0,3,15,0,2,0,0,0,0
"1765","Business- Management- Marketing- and Related Support Services","1984-1985","RUT",182,0,0,2,2,142,8,5,13,16,0,0
"1766","Marketing and Distribution","1984-1985","SCAR",72,5,1,1,1,46,0,0,3,9,0,0
"1767","Communication- Journalism- and Related Programs","1984-1985","SCAR",100,1,3,0,0,158,1,0,12,23,0,1
"1768","Computer and Information Sciences and Support Services","1984-1985","SCAR",37,2,4,0,2,16,0,0,7,3,0,0
"1769","Education","1984-1985","SCAR",56,2,0,0,0,174,0,1,4,23,0,1
"1770","Engineering","1984-1985","SCAR",154,15,1,2,1,23,0,0,13,6,1,0
"1771","Foreign Languages- Literatures- and Linguistics","1984-1985","SCAR",5,0,0,0,0,13,0,0,0,0,0,0
"1772","Health Sciences","1984-1985","SCAR",32,1,2,0,1,110,1,1,2,25,1,1
"1773","English language and literature/letters.","1984-1985","SCAR",19,0,1,0,0,35,0,0,1,3,0,0
"1774","Liberal arts and sciences- general studies and humanities.","1984-1985","SCAR",121,1,3,1,0,82,2,1,13,23,0,0
"1775","Biological and Biomedical Sciences","1984-1985","SCAR",46,0,3,1,1,37,2,0,6,5,0,0
"1776","Mathematics and Statistics","1984-1985","SCAR",10,5,1,1,0,6,0,0,3,4,0,0
"1777","Philosophy and Religious Studies","1984-1985","SCAR",9,0,0,0,0,1,1,0,0,0,0,0
"1778","Physical Sciences","1984-1985","SCAR",39,4,2,0,0,8,0,0,2,2,0,1
"1779","Psychology","1984-1985","SCAR",34,0,1,0,1,50,1,0,3,13,0,0
"1780","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","SCAR",34,0,0,0,0,19,0,1,4,9,1,0
"1781","Social Sciences and History","1984-1985","SCAR",194,3,0,2,1,100,1,0,18,18,0,1
"1782","Visual and performing arts.","1984-1985","SCAR",29,0,2,0,0,52,0,0,8,0,0,0
"1783","Business- Management- Marketing- and Related Support Services","1984-1985","SCAR",308,9,3,1,1,220,1,1,30,53,1,0
"1784","Architecture and Related Services","1984-1985","SJ.ST",2,1,1,1,2,16,0,0,0,1,1,5
"1785","Area- Ethnic- Cultural- Gender- and Group Studies","1984-1985","SJ.ST",0,0,0,0,0,0,0,0,0,0,0,1
"1786","Communication- Journalism- and Related Programs","1984-1985","SJ.ST",69,3,2,7,7,101,10,9,8,15,22,21
"1787","Education","1984-1985","SJ.ST",14,0,0,2,0,9,0,0,0,0,5,2
"1788","Engineering","1984-1985","SJ.ST",109,17,1,76,24,23,7,2,2,0,48,8
"1789","Engineering Technologies and Engineering-related Fields","1984-1985","SJ.ST",123,3,2,27,6,25,9,1,8,2,34,5
"1790","Foreign Languages- Literatures- and Linguistics","1984-1985","SJ.ST",0,0,0,0,1,13,0,4,0,0,1,2
"1791","Health Sciences","1984-1985","SJ.ST",18,0,1,2,23,120,2,7,0,5,1,36
"1792","Family and Consumer Sciences/Human Sciences","1984-1985","SJ.ST",2,0,0,1,4,20,0,5,0,0,1,6
"1793","English language and literature/letters.","1984-1985","SJ.ST",25,0,0,1,1,25,2,2,0,1,4,10
"1794","Liberal arts and sciences- general studies and humanities.","1984-1985","SJ.ST",8,0,0,0,1,59,1,10,0,1,0,15
"1795","Biological and Biomedical Sciences","1984-1985","SJ.ST",27,1,4,1,5,26,0,0,3,0,7,7
"1796","Mathematics and Statistics","1984-1985","SJ.ST",36,9,12,24,26,28,2,0,2,0,12,11
"1797","Multi/Interdisciplinary Studies","1984-1985","SJ.ST",12,0,0,2,3,12,0,1,0,2,4,8
"1798","Parks- Recreation- Leisure and Fitness Studies","1984-1985","SJ.ST",6,0,0,1,5,11,2,2,0,0,2,2
"1799","Philosophy and Religious Studies","1984-1985","SJ.ST",9,0,0,0,0,3,1,0,0,0,1,0
"1800","Physical Sciences","1984-1985","SJ.ST",48,1,1,4,3,16,2,0,0,0,14,4
"1801","Psychology","1984-1985","SJ.ST",20,1,2,2,5,61,5,4,3,6,5,14
"1802","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1984-1985","SJ.ST",30,0,0,5,1,6,5,10,3,4,9,3
