Date,Season,Details
10/21/1997,1997-1998,"The NBA fined Clifford Rozier (Cle) $10,000 and suspended him for 2 games and fined Vitaly Potapenko (Min) $5,000 and suspended him for 1 game for their fight in Sunday's Min-Cle game. Shawn Kemp (Cle), Henry James (Cle), and Doug West (Min) were each fined $2,500 and suspended for 1 game for leaving the bench during the fight. The suspensions will take place at the start of the regular season."
10/28/1997,1997-1998,"The NBA fined Lawrence Funderburke (Sac) $2,500 and suspended him for 1 game for leaving the bench during a scuffle in Friday's Sac-Ind game."
10/30/1997,1997-1998,Washington placed Terry Davis on the suspended list.
11/3/1997,1997-1998,"The NBA fined Shaquille O'Neal (LAL) $10,000 and suspended him for 1 game for hitting Greg Ostertag (Uta) prior to Friday's Uta-LAL game."
11/3/1997,1997-1998,Washington released Jimmy Oliver and activated Terry Davis from the suspended list.
11/12/1997,1997-1998,"The NBA fined Kurt Thomas (Dal) $7,500 for elbowing Stacey Augmon (Por) in Saturday's Dal-Por game."
11/14/1997,1997-1998,"The NBA fined Minnesota $25,000 and Chris Carr, Kevin Garnett, Stephon Marbury, Clifford Rozier, and Doug West $2,500 each for wearing their shorts too long. The league sent a memo to each team this summer stating they would enforce the dress code that requires shorts to be no longer than one inch above the knee."
11/17/1997,1997-1998,"The NBA fined Portland $25,000 and fined Rasheed Wallace and Kelvin Cato $2,500 for wearing their shorts too long."
11/17/1997,1997-1998,"The NBA fined Popeye Jones (Tor) $10,000 for a flagrant foul on Ron Mercer (Bos) during Friday's Bos-Tor game."
11/21/1997,1997-1998,"The NBA fined Isaiah Rider (Por) $10,000 and suspended him for 3 games for spitting at a fan during Thursday's Por-Det game."
11/24/1997,1997-1998,"The NBA fined Charles Oakley (NY) $7,500 and suspended him for 1 game for his altercation with Otis Thorpe (Sac) during Sunday's NY-Sac game. Thorpe was also fined $3,500 for throwing an elbow at Oakley."
12/1/1997,1997-1998,"Golden State suspended Latrell Sprewell indefinitely for assaulting head coach P.J. Carlesimo during practice. Golden State is initially defining it as a 10 game suspension, but says that it could be longer or shorter depending on how talks with Sprewell go. Carlesimo did not go into details of the two assaults (after the first altercation, Sprewell returned 15 minutes later), but there was a visible welt on Carlesimo's neck."
12/4/1997,1997-1998,"The NBA has suspended Latrell Sprewell from the NBA for one year. Sprewell's suspension will last until December 3, 1998."
12/5/1997,1997-1998,"The NBA fined Darrell Walker (Tor coach) $5,000 for flipping off a fan after Wednesday's Uta-Tor game."
12/11/1997,1997-1998,"Washington fined Rod Strickland and Tracy Murray $25,000 each for fighting at the team hotel Wednesday."
12/15/1997,1997-1998,Philadelphia suspended Allen Iverson for one game for missing practice on Sunday.
12/29/1997,1997-1998,"The NBA fined Corliss Williamson (Sac) $15,000 and suspended him for 3 games and fined Derrick Coleman (Phi) $10,000 and suspended him for 2 games for their fight during Sunday's Sac-Phi game."
12/30/1997,1997-1998,Portland suspended Vincent Askew for one game for skipping practice.
1/20/1998,1997-1998,Atlanta suspended Ed Gray indefinitely for missing medical appointments. Gray is on IR with a sprained right foot.
1/22/1998,1997-1998,"The NBA fined and reprimanded ref Joe Borgia for calling a foul on Calbert Cheaney (Was) when the foul was actually committed by Chris Webber, who had 5 fouls, in Friday's Was-Van game. Borgia actually told Cheaney after calling the foul that he called the foul on Cheaney because it would have been Webber's 6th foul."
1/26/1998,1997-1998,Atlanta lifted the suspension of Ed Gray.
2/2/1998,1997-1998,"The NBA fined P.J. Brown (Mia) $2,500 and suspended him for 1 game for leaving the substitution box during Sunday's NY-Mia altercation between Larry Johnson (NY) and Alonzo Mourning (Mia). Johnson was fined $5,000 for the incident."
2/2/1998,1997-1998,"The NBA fined Danny Fortson (Den) $5,000 for shoving Shawn Bradley (Dal) during Saturday's Den-Dal game."
2/7/1998,1997-1998,"The NBA fined Michael Jordan $10,000 for skipping the media session on Friday. Jordan, who normally skips the media day, was in Las Vegas playing golf."
2/10/1998,1997-1998,"The NBA fined Mike Fratello (Cle) $5,000 for comments he made regarding the reffing following Thursday's Cle-Atl game. Atlanta attempted 35 more free throws in the game."
2/11/1998,1997-1998,Portland suspended Isaiah Rider for 1 game for leaving Tuesday's Por-LAL game before it ended.
2/14/1998,1997-1998,The NBA suspended Charles Oakley (NY) for 1 game for his flagrant foul level 2 on Charles Outlaw (Orl) during Friday's Orl-NY game. The flagrant gave Oakley a total of 6 flagrant foul points. 6 flagrant foul points results in an automatic suspension. 7 or more flagrant foul points results in an automatic two game suspension. A flagrant foul level 1 counts as 1 flagrant foul point and a flagrant foul level 2 counts as 2 flagrant foul points (and automatic ejection from the game).
2/20/1998,1997-1998,"The NBA fined Tom Hammond (Min) $7,500 for his flagrant foul Wednesday against Derek Harper (Orl)."
2/27/1998,1997-1998,"The NBA fined Sacramento coach Eddie Jordan $5,000 for screaming at the refs following Thursday's Sac-NJ game."
3/1/1998,1997-1998,"The NBA fined Keith Askins (Mia) $10,000 and suspended him for 2 games for his flagrant foul against Keith Van Horn (NJ) and for spitting at New Jersey's bench after he was ejected. The NBA fined Chris Gatling (NJ) $2,500 and suspended him for 1 game for leaving the bench during the incident and fined Sherman Douglas (NJ) $3,500 for tackling Askins after Askins committed the flagrant."
3/4/1998,1997-1998,"The independent arbitrator ruled that Latrell Sprewell's contract with Golden State is to be reinstated and reduced Sprewell's suspension (without pay) to 5 months. The suspension now will be lifted July 1 and Sprewell is again a member of the Warriors (until they trade him). On December 1, Sprewell physically attacked his coach, P.J. Carlesimo. Golden State terminated Sprewell's contract December 3 and the NBA suspended Sprewell for 1 year on December 4. Sprewell and the NBA Players Association appealed the contract termination and suspension and went to arbitration. The 7 month suspension will cost Sprewell $6.4 million. After this season, Sprewell has 2 years left on his contract."
3/4/1998,1997-1998,"The NBA fined John Calipari (NJ) $1,000 for cursing at a fan during Saturday's NJ-Mia game."
3/9/1998,1997-1998,"The NBA fined Hakeem Olajuwon (Hou) $10,000 and suspended him for one game and fined Antonio McDyess (Pho) $7,500 and suspended him for one game for their altercation in Saturday's Pho-Hou game. Mario Elie (Hou) and Kevin Willis (Hou) were fined $2,500 and suspended for 1 game for leaving the bench during the incident."
3/20/1998,1997-1998,"The NBA fined Jerome Kersey (Sea) $7,500 and suspended him for 1 game and fined Lamond Murray (LAC) $7,500 and suspended him for 1 game for their altercation during Wednesday's Sea-LAC game."
3/25/1998,1997-1998,"The NBA fined Rod Strickland (Was) $5,000 for verbally abusing the ref and failing to leaving the court in a timely manner after being ejected during Tuesday's Por-Was game."
3/26/1998,1997-1998,Sacramento fined and suspended Olden Polynice for 2 games for arguing with head coach Eddie Jordan during Wednesday's Sac-LAL game.
3/27/1998,1997-1998,"The NBA fined Gary Trent (Tor) $5,000 and suspended him for one game and fined Marcus Camby (Tor) $2,500 and suspended him for one game for leaving the bench during an altercation between Danny Ferry (Cle) and John Wallace (Tor) during Thursday's Cle-Tor game."
3/27/1998,1997-1998,"The NBA fined Larry Brown (Phi) $6,000, fined Derrick Coleman $6,000, and fined Allen Iverson (Phi) $3,000 for publically criticizing the refs after Wednesday's Phi-NJ game."
3/28/1998,1997-1998,"The NBA fined Reggie Miller (Ind) $ 7,500 and suspended him for 1 game for his flagrant elbow on Vlade Divac (Cha) in Friday's Cha-Ind game."
3/30/1998,1997-1998,"The NBA fined Charles Barkley (Hou) $10,000 for calling ref Jack Nies ""a gutless official who holds grudges"" following his ejection in Friday's Orl-Hou game."
4/1/1998,1997-1998,Portland suspended Isaiah Rider for 1 game for being late for practice.
4/2/1998,1997-1998,"The NBA fined Jerry Stackhouse (Det) $5,000 for grabbing Brevin Knight's (Cle) neck in Wednesday's Cle-Det game and fined Shawn Kemp (Cle), Vitaly Potapenko (Cle), and Shawnelle Scott (Cle) $2,500 each and suspended the 3 for 1 game for leaving the bench during altercation."
4/3/1998,1997-1998,Toronto suspended Oliver Miller for 1 game for conduct detrimental to the team.
4/10/1998,1997-1998,"The NBA fined Karl Malone (Uta) $5,000 and suspended him for one game for throwing an elbow that knocked David Robinson (SA) unconscious in Wednesday's Uta-SA game. The league said that the contact was unintentional, but Malone should not have been swinging his elbows."
4/14/1998,1997-1998,"The NBA fined Nick Van Exel (LAL) $10,000 and suspended him for 2 games and fined Monty Williams (SA) $5,000 and suspended him for 2 games for their altercation in Monday's SA-LAL game. Van Exel's fine included a fine for making an obscene gesture following his ejection. Shaquille O'Neal (LAL) and Reggie Geary (SA) were also fined $5,000 each for their participation in the altercation. In a separate incident in that game, Will Perdue (SA) was fined $5,000 for throwing Derek Fisher (LAL) to the ground."
4/24/1998,1997-1998,"The NBA fined Charles Barkley (Hou) $10,000 for using profane language and making obscene gestures at a fan during Thursday's Hou-Uta game."
5/1/1998,1997-1998,"The NBA fined Alonzo Mourning (Mia) $20,000 and suspended him for 2 games and fined Larry Johnson (NY) $10,000 and suspended him for 2 games for their fight at the end of Thursday's NY-Mia game. Both will miss game 5 of the series and one will miss the game 1 of the second round and the other will miss the first game of the 98-99 season. Chris Mills (NY) was also fined $2,500 and suspended for 1 game (game 5) for leaving the bench during the altercation."
5/2/1998,1997-1998,"The NBA fined Micheal Williams (Min) $2,500 and suspended him for one game for leaving the bench during a scuffle between Tom Hammonds (Min) and Detlef Schrempf (Sea) during Wednesday's Sea-Min game."
5/22/1998,1997-1998,"The NBA fined Chicago $50,000 for failing to make their players available to the media following Thursday's practice."
5/26/1998,1997-1998,"The NBA fined Jalen Rose (Ind) $2,500 and suspended him for one game for leaving the bench while Reggie Miller (Ind) and Ron Harper (Chi) scuffled during Monday's Ind-Chi game. The NBA also fined Harper $3,500 for initiating the scuffle and fined Miller $2,500 for retaliating."
5/26/1998,1997-1998,"The NBA fined Phil Jackson (Chi) $10,000 for his comments regarding the reffing following Monday's Ind-Chi game."
6/8/1998,1997-1998,"The NBA fined Dennis Rodman (Chi) $10,000 for not making himself available to the media following Monday's practice. Rodman had skipped the practice. Chicago also fined Rodman an undisclosed amount for missing practice."
1/22/1999,1999-2000,The NBA reinstated Latrell Sprewell (NY). Sprewell had been suspended for assaulting his coach.
1/22/1999,1999-2000,"Due to the long lockout, the NBA announced that Alonzo Mourning (Mia) will not be suspended for the first game of the season. Mourning was assessed a 2 game suspension for fighting with Larry Johnson (Mia) in game 4 of the NY-Mia series last May."
2/8/1999,1999-2000,"The NBA fined Charles Barkley (Hou) $5,000 for foul language directed at fans during Friday's Hou-LAL game."
2/8/1999,1999-2000,"The NBA fined Steve Smith (Atl) $2,500 and Kendall Gill (NJ) $2,500 for their altercation in the tunnel after Saturday's Atl-NJ game."
2/10/1999,1999-2000,"NBA fined Danny Ainge (Pho) $3,000 for kicking the basketball into the stands after being ejected during Tuesday's Pho-Sac game."
2/18/1999,1999-2000,"The NBA fined Kevin Willis (Tor) $5,000 for throwing a flagrant elbow at Charlie Ward (NY) during Tuesday's Tor-NY game."
2/18/1999,1999-2000,"The NBA fined Dan Issel (Den GM) $3,500 for verbally abusing the refs following Saturday's Sea-Den game."
2/22/1999,1999-2000,"The NBA fined Shaquille O'Neal (LAL) $10,000 comments he made regarding the refs following Sunday's LAL-Sea game."
